particle_key,o2,o2_label,particle_label,feature,modality,mean,std,median,q25,q75,n_valid
carbon_dsobp,0.005,True anoxia (0.005%),Carbon dSOBP (70.7 keV/µm),m5_dsbs_per_occupied_chrom_mean,Genomic Location,15.16625881531609,3.7965806582235846,15.602564102564102,11.924922600619196,17.108333333333334,50
carbon_dsobp,0.005,True anoxia (0.005%),Carbon dSOBP (70.7 keV/µm),m5_frac_intra_chrom_pairs,Genomic Location,0.18264513441943606,0.06929219802678889,0.1745293124954142,0.11188554092965858,0.24789735795576837,50
carbon_dsobp,0.005,True anoxia (0.005%),Carbon dSOBP (70.7 keV/µm),m5_frac_intra_lt_1.0Mbp,Genomic Location,0.2559532876041051,0.080192984769604,0.26081997573692633,0.187005647362736,0.3124614064408112,50
carbon_dsobp,0.005,True anoxia (0.005%),Carbon dSOBP (70.7 keV/µm),m5_frac_intra_lt_10.0Mbp,Genomic Location,0.4806150960224987,0.0900803149357434,0.475926451595897,0.4255342765786736,0.5157891515313391,50
carbon_dsobp,0.005,True anoxia (0.005%),Carbon dSOBP (70.7 keV/µm),m5_frac_intra_lt_5.0Mbp,Genomic Location,0.3727160985489287,0.08791765344503026,0.37572021378478704,0.29910531697341514,0.4199074447898583,50
carbon_dsobp,0.005,True anoxia (0.005%),Carbon dSOBP (70.7 keV/µm),m5_gini_per_chrom,Genomic Location,0.8705888835723787,0.05192685384000828,0.8876613040474927,0.8197250639386188,0.9148222704482526,50
carbon_dsobp,0.005,True anoxia (0.005%),Carbon dSOBP (70.7 keV/µm),m5_intra_dist_mean_Mbp,Genomic Location,23.808304365858316,9.46418530932999,24.994930783180322,15.002334146454885,30.818957940293643,50
carbon_dsobp,0.005,True anoxia (0.005%),Carbon dSOBP (70.7 keV/µm),m5_intra_dist_std_Mbp,Genomic Location,26.280461310452015,10.875732458477916,25.14512861783316,15.92972283580291,35.14929813303279,50
carbon_dsobp,0.005,True anoxia (0.005%),Carbon dSOBP (70.7 keV/µm),m5_max_dsbs_per_chrom,Genomic Location,53.16,17.208556011472897,52.0,38.0,66.25,50
carbon_dsobp,0.005,True anoxia (0.005%),Carbon dSOBP (70.7 keV/µm),m5_n_chroms_with_ge1_dsb,Genomic Location,13.38,3.434472302989209,12.0,11.0,17.0,50
carbon_dsobp,0.005,True anoxia (0.005%),Carbon dSOBP (70.7 keV/µm),m5_n_chroms_with_ge2_dsbs,Genomic Location,9.38,3.7517462600767657,8.0,6.0,12.75,50
carbon_dsobp,0.005,True anoxia (0.005%),Carbon dSOBP (70.7 keV/µm),m5_ph1d_gini_gaps,Genomic Location,0.9166367176528325,0.023366965011184987,0.9255362218821123,0.9007676019939526,0.9316714881355121,50
carbon_dsobp,0.005,True anoxia (0.005%),Carbon dSOBP (70.7 keV/µm),m5_ph1d_max_gap_Mbp,Genomic Location,27.57153297340999,9.448401426458767,26.393749264163787,20.28334600014672,33.375719781589325,50
carbon_dsobp,0.005,True anoxia (0.005%),Carbon dSOBP (70.7 keV/µm),m5_ph1d_mean_gap_Mbp,Genomic Location,2.4467786324530123,1.2594964963106674,2.0318880877647336,1.5434013864107419,3.2510819034557286,50
carbon_dsobp,0.005,True anoxia (0.005%),Carbon dSOBP (70.7 keV/µm),m5_ph1d_n_chroms_analysed,Genomic Location,9.38,3.7517462600767657,8.0,6.0,12.75,50
carbon_dsobp,0.005,True anoxia (0.005%),Carbon dSOBP (70.7 keV/µm),m6_complexity_r_spearman,Damage Complexity,-0.04522682265973846,0.061658297017794364,-0.041357187272293094,-0.07577033122581774,-0.0022401355260273726,50
carbon_dsobp,0.005,True anoxia (0.005%),Carbon dSOBP (70.7 keV/µm),m6_complexity_score_mean,Damage Complexity,1.4770783502924807,0.051547695554173774,1.4768562589243217,1.4484228056426334,1.5075763315402682,50
carbon_dsobp,0.005,True anoxia (0.005%),Carbon dSOBP (70.7 keV/µm),m6_complexity_score_var,Damage Complexity,0.42160063948614473,0.05203966636253538,0.42993795868922996,0.3881680821566467,0.45640718709795713,50
carbon_dsobp,0.005,True anoxia (0.005%),Carbon dSOBP (70.7 keV/µm),m6_frac_DSB,Damage Complexity,0.610313252921722,0.035072385684607986,0.6084327182718272,0.5856307979751896,0.6375,50
carbon_dsobp,0.005,True anoxia (0.005%),Carbon dSOBP (70.7 keV/µm),m6_frac_DSBplus,Damage Complexity,0.30229514386407574,0.0324393721760629,0.30092036814725887,0.27807017543859647,0.3264104516960572,50
carbon_dsobp,0.005,True anoxia (0.005%),Carbon dSOBP (70.7 keV/µm),m6_frac_DSBpp,Damage Complexity,0.08739160321420238,0.024993332199840013,0.09063526834611171,0.06991190891714452,0.10367123160914221,50
carbon_dsobp,0.005,True anoxia (0.005%),Carbon dSOBP (70.7 keV/µm),m6_frac_has_base_damage,Damage Complexity,0.45757123844781317,0.029875517543461034,0.46035674996071035,0.44028439338750347,0.48330455976439524,50
carbon_dsobp,0.005,True anoxia (0.005%),Carbon dSOBP (70.7 keV/µm),m6_n_base_damage_mean,Damage Complexity,0.6296847317441919,0.05502963579891724,0.6310900631439016,0.5910268414481897,0.6687234042553192,50
carbon_dsobp,0.005,True anoxia (0.005%),Carbon dSOBP (70.7 keV/µm),m6_n_base_damage_std,Damage Complexity,0.814167102303418,0.06861865878503993,0.8184370620913414,0.762778642828933,0.8479251581480904,50
carbon_dsobp,0.005,True anoxia (0.005%),Carbon dSOBP (70.7 keV/µm),m6_n_extra_backbone_mean,Damage Complexity,0.3780024886994756,0.0470996150249529,0.3671841076856275,0.34427141268075645,0.41311813186813184,50
carbon_dsobp,0.005,True anoxia (0.005%),Carbon dSOBP (70.7 keV/µm),m6_n_extra_backbone_std,Damage Complexity,0.5915381800409227,0.05235769987044251,0.5880045156358558,0.5552419689448738,0.6132363743756482,50
carbon_dsobp,0.005,True anoxia (0.005%),Carbon dSOBP (70.7 keV/µm),m7_h0_betti0_mean,Topological Summaries,3.5168,0.41449579008718535,3.49,3.19125,3.79875,50
carbon_dsobp,0.005,True anoxia (0.005%),Carbon dSOBP (70.7 keV/µm),m7_h0_betti0_var,Topological Summaries,314.268111,49.632602432749835,310.45575,281.98179999999996,342.571825,50
carbon_dsobp,0.005,True anoxia (0.005%),Carbon dSOBP (70.7 keV/µm),m7_h0_landscape_integral,Topological Summaries,1.9846752573626592,0.9890503810626802,1.769392484141818,1.2221272065551987,2.7670840863119377,50
